,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
166,ELEPHANT & CASTLE,Manhattan,10011,American,12/2/2019,10F,N,1,12/2/2019,40.73631373,-74.0009418,102,3,7100,1080191,1006060029,MN23
167,MILL BASIN KOSHER DELI,Brooklyn,11234,Jewish/Kosher,5/8/2019,08A,N,1,5/8/2019,40.61531418,-73.91841052,318,46,68800,3236236,3083800002,BK58
168,OYSTER BAR,Manhattan,10017,Seafood,6/19/2019,06D,Y,1,6/19/2019,40.75251382,-73.97730464,105,4,9200,1035381,1012800001,MN19
169,CHERRY TAVERN,Manhattan,10009,American,11/1/2019,06F,Y,1,11/1/2019,40.72599521,-73.9851969,103,2,3200,1005797,1004340037,MN22
170,COLONNADE DINER,Staten Island,10306,American,9/27/2019,02G,Y,1,9/27/2019,40.58116391,-74.09854329,502,50,11402,5051140,5035600001,SI45
171,RED FLAME DINER,Manhattan,10036,American,2/21/2019,10B,N,1,2/21/2019,40.7556272,-73.98193815,105,4,9600,1034217,1012600001,MN17
172,MAGGIES PLACE,Manhattan,10017,American,6/12/2019,06C,Y,1,6/12/2019,40.75615888,-73.97738641,105,4,9400,1035419,1012830015,MN17
173,BRADY'S BAR,Manhattan,10028,American,12/19/2019,08C,N,1,12/19/2019,40.77543362,-73.95353209,108,5,13800,1048656,1015280021,MN32
174,JIMMY'S CORNER,Manhattan,10036,American,4/23/2019,06C,Y,1,4/23/2019,40.75661292,-73.984331,105,4,11900,1022619,1009960050,MN17
175,FROST RESTAURANT,Brooklyn,11211,Italian,11/12/2019,08C,N,1,11/12/2019,40.71820359,-73.94353622,301,34,49700,3332290,3027350030,BK90
176,SAMMY'S STEAKHOUSE,Manhattan,,Steak,5/3/2019,02B,Y,1,5/3/2019,0,0,,,,,1,
177,IL CORTILE RESTAURANT,Manhattan,10013,Italian,10/4/2019,02B,Y,0,10/4/2019,40.71789085,-73.9981061,102,1,4100,1002653,1002060017,MN24
178,DENNY'S PUB,Brooklyn,11218,American,7/16/2019,10F,N,1,7/16/2019,40.64293186,-73.97886988,312,39,48600,3125226,3053530001,BK41
179,MARIES CRISIS CAFE,Manhattan,10014,"Bottled beverages, including water, sodas, juices, etc.",7/23/2019,04L,Y,1,7/23/2019,40.73313525,-74.00328712,102,3,7300,1010203,1005910060,MN23
180,NEW PARKWAY RESTAURANT,Brooklyn,11228,American,10/24/2019,09B,N,1,10/24/2019,40.62019578,-74.00754646,310,43,20000,3159954,3062210039,BK30
181,CAFE RIAZOR,Manhattan,10011,Spanish,9/10/2019,08C,N,1,9/10/2019,40.74043912,-74.00002526,104,3,8100,1013798,1007660016,MN13
182,RAOULS,Manhattan,10012,French,1/23/2019,08A,N,1,1/23/2019,40.72632003,-74.00203485,102,3,4900,1007784,1005030019,MN24
183,THE BROOK,Manhattan,10022,American,6/28/2019,10F,N,1,6/28/2019,40.75942659,-73.97154121,105,4,10000,1036477,1013090005,MN19
184,MARBELLA RESTAURANT,Queens,11361,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/8/2019,06A,Y,1,5/8/2019,40.76160163,-73.76075972,411,19,147100,4138722,4063240020,QN46
185,P.J.' S,Queens,11366,American,1/14/2020,04L,Y,0,,40.72953723,-73.77996922,408,23,133300,4155094,4072060034,QN41
186,DOUBLES CLUB,Manhattan,10022,American,4/30/2019,10F,N,1,4/30/2019,40.76453215,-73.97280973,108,4,11401,1040751,1013740001,MN40
187,HATSUHANA RESTAURANT,Manhattan,10017,Japanese,7/29/2019,06C,Y,1,7/29/2019,40.75689169,-73.9771732,105,4,9400,1035435,1012840012,MN17
188,VALENTINO'S PIZZA,Queens,11367,Pizza/Italian,7/18/2019,02G,Y,1,7/18/2019,40.72852873,-73.81507497,408,24,122702,4146994,4067930035,QN38
189,VIAND COFFEE SHOP,Manhattan,10065,Greek,5/9/2019,04N,Y,1,5/9/2019,40.76478949,-73.97013102,108,4,11401,1040850,1013760021,MN40
190,PALM TOO,Manhattan,10017,American,9/30/2019,06D,Y,0,9/30/2019,40.75155446,-73.9709274,106,4,9000,1038763,1013370050,MN19
191,STEVE'S COFFEE SHOP,Queens,,Café/Coffee/Tea,4/2/2019,06F,Y,1,4/2/2019,0,0,,,,,4,
192,BLUE BAY RESTAURANT,Bronx,10463,American,10/9/2019,04N,Y,1,10/9/2019,40.88602891,-73.90987095,208,11,29700,2084160,2057940501,BX29
193,THE HYTES BAR,Brooklyn,11213,American,11/8/2019,04L,Y,1,11/8/2019,40.6712044,-73.94264971,308,35,33900,3032442,3012570035,BK61
194,PERGOLA DES ARTISTES,Manhattan,10036,French,5/23/2019,10F,N,1,5/23/2019,40.75925368,-73.98669472,105,3,11900,1024729,1010170057,MN17
195,JODY'S CLUB,Staten Island,10301,American,8/5/2019,06D,Y,1,8/5/2019,40.63100906,-74.10189565,501,49,5900,5169029,5002520009,SI35
196,REIF'S TAVERN,Manhattan,10128,American,2/13/2019,06D,Y,1,2/13/2019,40.78151114,-73.9485773,108,5,15400,1050238,1015540148,MN32
197,WHITESTONE LANES,Queens,11354,American,10/30/2019,06D,Y,0,,40.77070865,-73.83372018,407,20,86900,4100748,4043700015,QN22
198,JOHN'S PIZZERIA,Queens,11373,Pizza,10/24/2019,06F,Y,1,10/24/2019,40.73492185,-73.88201393,404,25,47900,4065250,4028750008,QN50
199,SEASHORE RESTAURANT,Bronx,10464,Seafood,6/18/2019,04H,Y,1,6/18/2019,40.85411693,-73.79057359,210,13,51600,2100408,2056350164,BX10
200,CAFFE REGGIO,Manhattan,10012,Italian,2/26/2019,10F,N,1,2/26/2019,40.73020663,-74.00031751,102,1,6500,1008746,1005430021,MN23
201,CAFE UN DEUX TROIS,Manhattan,10036,French,6/27/2019,02G,Y,1,6/27/2019,40.75648387,-73.9839773,105,4,11900,1022629,1009970019,MN17
202,ARMANDO'S PIZZA,Brooklyn,11239,Pizza,6/11/2019,10F,N,1,6/11/2019,40.64798374,-73.88192681,305,42,105804,3345673,3044520015,BK93
203,KNICKERBOCKER BAR & GRILL,Manhattan,10003,American,2/15/2019,06C,Y,1,2/15/2019,40.73196864,-73.99445059,102,2,5900,1009090,1005607501,MN23
204,EL POTE ESPANOL,Manhattan,10016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/3/2019,02G,Y,1,9/3/2019,40.74767405,-73.97376221,106,4,7800,1021932,1009440055,MN20
205,THE RIVER CAFE,Brooklyn,11201,American,6/10/2019,10F,N,1,6/10/2019,40.70295918,-73.99433761,302,33,2100,3335852,3000250001,BK38
206,MUDVILLE SALOON,Manhattan,10007,American,3/28/2019,06C,Y,1,3/28/2019,40.71529947,-74.00879097,101,1,2100,1001482,1001360019,MN24
207,JOHNNY'S REEF RESTAURANT,Bronx,10464,Seafood,8/7/2019,08A,N,1,8/7/2019,40.83766442,-73.78289894,210,13,51600,2082394,2056370001,BX10
208,WHITE CASTLE,Brooklyn,11213,Hamburgers,4/12/2019,06E,Y,1,4/12/2019,40.6634914,-73.93226465,309,41,88000,3251162,3014300034,BK60
209,WHITE CASTLE,Bronx,10467,Hamburgers,5/30/2019,04H,Y,1,5/30/2019,40.86562407,-73.86225393,211,13,34000,2053784,2045140001,BX07
210,WHITE CASTLE,Queens,11104,Hamburgers,5/9/2019,10F,N,1,5/9/2019,40.74345059,-73.92132771,402,26,18300,4001992,4001680026,QN31
211,FERDINANDO'S RESTAURANT,Brooklyn,11231,Italian,4/20/2019,02B,Y,1,4/20/2019,40.68412467,-74.0020624,306,39,5100,3004269,3003360037,BK33
212,MCDONALD'S,Queens,11375,Hamburgers,10/1/2019,06D,Y,1,10/1/2019,40.71980082,-73.84502745,406,29,71100,4077473,4032340185,QN17
213,NECTAR COFFEE SHOP,Manhattan,10075,American,12/13/2019,06D,Y,1,12/13/2019,40.77599679,-73.96236681,108,4,14200,1041884,1013930056,MN40
214,THE CUPPING ROOM CAFE,Manhattan,10013,American,12/20/2019,10F,N,0,12/20/2019,40.72302903,-74.00320004,102,1,4700,1007065,1004750014,MN24
215,MCDONALD'S,Brooklyn,11203,Hamburgers,4/22/2019,10F,N,1,4/22/2019,40.6561812,-73.93084489,317,41,86800,3100849,3046370035,BK96
216,PETE'S TAVERN,Manhattan,10003,American,5/28/2019,10F,N,1,5/28/2019,40.73635139,-73.98668488,106,2,5000,1080800,1008740023,MN21
217,GINO'S PIZZERIA,Queens,11364,Pizza/Italian,1/15/2020,06A,Y,0,,40.7487857,-73.75656159,411,23,136700,4162212,4076100008,QN42
218,JIM BRADY'S RESTAURANT,Manhattan,10038,Irish,12/18/2019,04H,Y,1,12/18/2019,40.70764987,-74.00775839,101,1,1502,1001112,1000680011,MN25
219,VILLA MOSCONI RESTAURANT,Manhattan,10012,Italian,9/25/2019,04N,Y,1,9/25/2019,40.7285378,-74.00173184,102,3,6500,1008307,1005260034,MN23
220,THE NEW AMITY RESTAURANT,Manhattan,10028,American,10/10/2019,08A,N,1,10/10/2019,40.77974519,-73.95963131,108,4,15001,1046819,1014960017,MN40
221,VOLARE RESTAURANT,Manhattan,10012,Italian,12/16/2019,10B,N,0,,40.73147472,-74.00047628,102,1,6500,1008883,1005520035,MN23
222,SPARKS STEAK HOUSE,Manhattan,10017,Steak,8/8/2019,10F,N,1,8/8/2019,40.75309731,-73.97209616,106,4,9000,1037596,1013190047,MN19
223,THE DART SPORTS BAR,Queens,11432,American,5/6/2019,10B,N,1,5/6/2019,40.71527033,-73.80769891,408,24,23000,4145714,4067170104,QN35
224,BAMONTE'S RESTAURANT,Brooklyn,11211,Italian,2/7/2019,06F,Y,1,2/7/2019,40.71671133,-73.95148452,301,33,51500,3068243,3027410013,BK73
225,JOHN MULLIGAN'S FIRESIDE PUB,Bronx,10470,American,11/20/2019,06D,Y,0,,40.89778438,-73.86721861,212,11,45101,2019371,2033840001,BX62
226,BURGER KING,Queens,11361,Hamburgers,10/31/2019,02B,Y,1,10/31/2019,40.76185912,-73.75919934,411,19,147100,4160989,4074740016,QN46
227,EAR INN,Manhattan,10013,American,6/17/2019,06C,Y,1,6/17/2019,40.72599304,-74.00930109,102,3,3700,1010344,1005950071,MN24
228,BURGER KING,Queens,11377,Hamburgers,3/21/2019,10B,N,1,3/21/2019,40.75425192,-73.89781765,403,25,30902,4026245,4011640045,QN28
229,MCDONALD'S,Staten Island,10312,Hamburgers,7/15/2019,08C,N,1,7/15/2019,40.55951214,-74.16955254,503,51,14607,5073737,5055330047,SI54
230,ROSSINI'S,Manhattan,10016,Italian,9/4/2019,10F,N,1,9/4/2019,40.74934943,-73.97894066,106,4,8000,1019118,1008930082,MN20
231,THREE GUY'S RESTAURANT,Manhattan,10021,American,3/12/2019,09C,N,1,3/12/2019,40.77397438,-73.96384104,108,4,13000,1041694,1013900017,MN40
232,THE PLAYERS,Manhattan,10003,American,12/27/2019,04L,Y,0,,40.7377759,-73.98648252,106,2,5000,1017938,1008750069,MN21
233,TJK CAFE & RESTAURANT,Queens,11362,American,3/23/2019,10F,N,1,3/23/2019,40.76055651,-73.73128614,411,23,152902,4172803,4083360001,QN45
234,SMITH & WOLLENSKY,Manhattan,10017,American,12/30/2019,04H,Y,1,12/30/2019,40.75505127,-73.97087534,106,4,9800,1038223,1013230001,MN19
235,MCDONALD'S,Queens,11357,Hamburgers,7/3/2019,08A,N,1,7/3/2019,40.78061912,-73.80203901,407,19,101700,4107760,4047580100,QN47
236,OLIVE TREE CAFE & COMEDY CELLAR,Manhattan,10012,American,6/19/2019,06D,Y,1,6/19/2019,40.73012978,-74.00038607,102,1,6500,1008747,1005430022,MN23
237,BURGER KING,Queens,11004,Hamburgers,2/4/2019,02G,Y,1,2/4/2019,40.73697353,-73.70992195,413,23,157903,4179815,4087880001,QN44
238,BURGER KING,Brooklyn,11236,Hamburgers,12/26/2019,10F,N,1,12/26/2019,40.65287204,-73.91980597,317,42,88800,3103358,3047110036,BK96
239,MANDUCATIS,Queens,11101,Italian,9/13/2019,10F,N,1,9/13/2019,40.74446803,-73.94890554,402,26,700,4436618,4000570001,QN31
240,MAMMA LUCIA,Brooklyn,11230,Italian,1/16/2019,08A,N,1,1/16/2019,40.63497559,-73.96117841,314,40,51800,3120553,3052170037,BK42
241,WEST BANK CAFE,Manhattan,10036,American,6/6/2019,10F,N,1,6/6/2019,40.75860922,-73.99305143,104,3,12100,1083745,1010520001,MN15
242,LA BARAKA RESTAURANT,Queens,11362,French,12/19/2019,08A,N,0,,40.77203399,-73.73432653,411,19,147900,4169568,4081390049,QN45
243,LIBERMAN'S LUNCHEONETTE,Brooklyn,11204,Jewish/Kosher,11/15/2019,06E,Y,1,11/15/2019,40.63150355,-73.98500899,312,44,47400,3128989,3054480010,BK88
244,ZAFI'S LUNCHEONETTE,Manhattan,10002,American,4/26/2019,06F,Y,1,4/26/2019,40.71473855,-73.98260579,103,1,1200,1004065,1003310065,MN28
245,LA PALINA RESTAURANT,Brooklyn,11204,Italian,5/7/2019,04H,Y,1,5/7/2019,40.61077672,-73.97886929,311,44,43400,3173432,3065800034,BK29
246,TY'S,Manhattan,10014,"Bottled beverages, including water, sodas, juices, etc.",11/15/2019,08A,N,1,11/15/2019,40.73319281,-74.00547734,102,3,7300,1010036,1005880048,MN23
247,MARINER INN,Brooklyn,11234,American,5/25/2019,04A,Y,1,5/25/2019,40.60933941,-73.93197766,318,46,65800,3240112,3085020010,BK45
248,NORTH SHORE DINER,Queens,11358,American,2/15/2019,10B,N,1,2/15/2019,40.75784728,-73.78456423,411,19,145101,4124565,4055200025,QN48
249,GREEN HOUSE CAFE,Brooklyn,11209,American,8/20/2019,06D,Y,1,8/20/2019,40.62982119,-74.02845014,310,43,6400,3149778,3059600005,BK31
250,MCDONALD'S,Bronx,10465,Hamburgers,11/12/2019,10B,N,1,11/12/2019,40.82757806,-73.82327208,210,13,15200,2079915,2055430086,BX52
251,LA RIPAILLE RESTAURANT,Manhattan,10014,French,11/19/2019,10F,N,1,11/19/2019,40.73735386,-74.00574111,102,3,7900,1011371,1006240017,MN23
252,MARINA CAFE,Staten Island,10308,Italian,1/2/2020,04L,Y,0,,40.54430093,-74.14090586,503,51,15603,5066187,5052070039,SI54
253,DON FILIPPO RESTAURANT,Manhattan,10075,Italian,6/27/2019,10F,N,1,6/27/2019,40.77464251,-73.95910728,108,4,14000,1043268,1014130153,MN40
254,BURGER KING,Queens,11374,Hamburgers,2/8/2019,10F,N,1,2/8/2019,40.73177314,-73.86656565,406,29,71702,4050127,4020750050,QN18
255,DAZIES RESTAURANT,Queens,11104,Italian,1/16/2020,08A,N,0,,40.74388391,-73.92488913,402,26,18101,4002508,4001900044,QN31
256,OMONIA CAFE,Queens,11106,Greek,1/8/2020,06C,Y,0,1/8/2020,40.76147748,-73.92436023,401,22,5900,4008332,4006120040,QN70
257,MURALS ON 54/RANDOLPH'S,Manhattan,10019,American,2/8/2019,06D,Y,1,2/8/2019,40.76186522,-73.97733032,105,4,10400,1034786,1012700001,MN17
258,VETERANS OF FOREIGN WARS POST #107 CANTEEN,Brooklyn,11229,American,9/19/2019,06D,Y,1,9/19/2019,40.59810167,-73.9310133,315,46,62800,3248376,3088270025,BK17
259,TROPICAL HOUSE BAKING CO.,Brooklyn,11213,Bakery,9/11/2019,10F,N,1,9/11/2019,40.66943476,-73.93383029,308,35,35100,3037312,3013900005,BK61
260,BURGER KING,Queens,11434,Hamburgers,4/16/2019,10F,N,1,4/16/2019,40.66793532,-73.78098428,412,31,29400,4266764,4123100001,QN02
261,YANKEE JZ PIZZA,Bronx,10472,Pizza,11/4/2019,06C,Y,1,11/4/2019,40.82917833,-73.87570682,209,18,5400,2025317,2037760001,BX08
262,CLINTON RESTAURANT,Queens,11357,Italian,10/30/2018,06D,Y,1,10/30/2018,40.79346399,-73.81314953,407,19,98700,4102818,4045260080,QN49
263,RACQUET & TENNIS CLUB,Manhattan,10022,American,5/3/2019,02G,Y,1,5/3/2019,40.75879835,-73.97281208,105,4,10200,1035713,1012880033,MN17
264,ASTRO RESTAURANT,Manhattan,10019,American,1/3/2019,02G,Y,1,1/3/2019,40.76313625,-73.97839841,105,4,13700,1023394,1010080029,MN17
265,GOLDEN DOVE DINER,Staten Island,10312,American,2/27/2019,06C,Y,1,2/27/2019,40.55901275,-74.1694397,503,51,14607,5073736,5055330038,SI54
266,KORNER PIZZERIA,Brooklyn,11218,Pizza/Italian,9/27/2019,10B,N,1,9/27/2019,40.64337635,-73.97802655,312,39,48800,3124589,3053350078,BK41
267,VILLA BERULIA,Manhattan,10016,Italian,2/14/2019,09C,N,1,2/14/2019,40.74686575,-73.98082174,106,2,7200,1078763,1008900001,MN20
268,VICTOR'S CAFE,Manhattan,10019,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/29/2019,02G,Y,1,8/29/2019,40.76296148,-73.983853,105,3,13100,1080858,1010230051,MN17
269,PETES PIZZERIA & RESTAURANT,Brooklyn,11209,Pizza/Italian,11/21/2019,02B,Y,1,11/21/2019,40.63124038,-74.02788872,310,43,6600,3148686,3059390047,BK31
270,KEENS STEAKHOUSE,Manhattan,10018,Steak,9/10/2019,09C,N,1,9/10/2019,40.75075309,-73.98610812,105,4,8400,1083645,1008370084,MN17
271,BuBo,Manhattan,10016,American,5/9/2019,10B,N,1,5/9/2019,40.74604728,-73.97786985,106,2,7800,1020177,1009150065,MN20
272,READY PENNY INN,Queens,11372,Irish,3/6/2019,04L,Y,1,3/6/2019,40.74852436,-73.89264019,403,25,28900,4029796,4012847501,QN28
273,IL MULINO,Manhattan,10012,Italian,9/3/2019,06C,Y,1,9/3/2019,40.72984432,-73.99896087,102,1,6500,1008673,1005390017,MN23
274,FELIDIA RESTAURANT,Manhattan,10022,Italian,8/15/2019,10B,N,0,8/15/2019,40.76047906,-73.96597453,106,4,10800,1038643,1013320120,MN19
275,MCDONALD'S,Brooklyn,11203,Hamburgers,5/28/2019,10F,N,1,5/28/2019,40.64491615,-73.92158848,317,45,94600,3221965,3079160035,BK96
276,THE MALT HOUSE,Manhattan,10012,American,11/14/2018,08A,N,1,11/14/2018,40.72878759,-73.99935056,102,1,6500,1077847,1005370037,MN23
277,SHUN LEE,Manhattan,10023,Chinese,11/21/2019,04L,Y,0,11/21/2019,40.7722739,-73.9803631,107,6,14900,1028160,1011180005,MN14
278,PONGSRI THAI RESTAURANT,Manhattan,10036,Thai,9/30/2019,10B,N,1,9/30/2019,40.76051342,-73.9858173,105,3,12500,1024765,1010190059,MN17
279,TONY'S PIER RESTAURANT,Bronx,10464,Seafood,6/18/2019,10F,N,1,6/18/2019,40.83765897,-73.78292064,210,13,51600,2097766,2056240130,BX10
280,ELIO'S,Manhattan,10028,Italian,11/8/2019,06A,Y,1,11/8/2019,40.77670406,-73.95260688,108,5,14601,1048737,1015300022,MN32
281,KASTELI II,Manhattan,10001,Irish,6/25/2019,04L,Y,1,6/25/2019,40.74880508,-73.99591088,105,3,9500,1014275,1007780074,MN17
282,MOLLY WEE PUB,Manhattan,10001,Irish,1/10/2020,06D,Y,1,1/10/2020,40.74975474,-73.99522147,105,3,10100,1014332,1007800001,MN17
283,EL CARIBE,Brooklyn,11234,Italian,5/8/2019,10B,N,1,5/8/2019,40.60865231,-73.91428056,318,46,69800,3238580,3084701028,BK45
284,OMEN JAPANESE CUISINE,Manhattan,10012,Japanese,10/24/2019,02B,Y,1,10/24/2019,40.72582323,-74.00185083,102,3,4900,1007787,1005030023,MN24
285,MCDONALD'S,Queens,11367,Hamburgers,1/8/2019,06C,Y,1,1/8/2019,40.72752121,-73.81325937,408,24,122702,4315234,4068050045,QN38
286,ROSIE O'GRADY RESTAURANT,Manhattan,10019,Irish,7/31/2019,10F,N,1,7/31/2019,40.76243426,-73.98229367,105,4,13100,1024827,1010240029,MN17
287,EUROPA BAR,Queens,11435,American,3/13/2019,10F,N,1,3/13/2019,40.6989046,-73.80688436,412,27,20800,4213954,4099930018,QN61
288,CASA BELLA,Manhattan,10013,Italian,1/2/2020,06D,Y,1,1/2/2020,40.71799515,-73.99803755,102,1,4100,1002652,1002060016,MN24
289,CHEZ NAPOLEON,Manhattan,10019,French,11/20/2019,10F,N,1,11/20/2019,40.76320356,-73.98827145,104,3,13300,1025173,1010410005,MN15
290,TURKEY'S NEST TAVERN,Brooklyn,11249,American,9/25/2019,10F,N,1,9/25/2019,40.72051696,-73.95485122,301,33,51700,3061540,3022900017,BK73
291,LA VILLA DE PIZZA & RESTAURANT,Queens,11414,Pizza,9/12/2019,08A,N,1,9/12/2019,40.66608921,-73.85195825,410,32,6202,4246916,4114290034,QN57
292,OZONE PIZZERIA,Queens,11417,Pizza/Italian,4/9/2019,02H,Y,1,4/9/2019,40.68068177,-73.84263818,410,32,4002,4189621,4091190035,QN56
293,AGRA RESTAURANT,Manhattan,10065,Indian,7/22/2019,04M,Y,1,7/22/2019,40.76428624,-73.96666569,108,4,11402,1042039,1013970020,MN40
294,ARTURO'S,Manhattan,10028,Italian,8/7/2019,09C,N,1,8/7/2019,40.77545297,-73.94747716,108,5,14401,1050540,1015650022,MN32
295,PARIS BLUES,Manhattan,10027,American,6/13/2019,08A,N,1,6/13/2019,40.80649728,-73.9501148,110,9,22000,1057675,1019060001,MN11
296,GENE'S RESTURANT,Manhattan,10011,Italian,6/4/2019,02B,Y,1,6/4/2019,40.73493583,-73.99718548,102,3,6300,1009601,1005750086,MN23
297,COZY SOUP & BURGER,Manhattan,10003,American,1/8/2020,10F,N,1,1/8/2020,40.72994292,-73.99296062,102,1,5700,1008840,1005480070,MN23
298,VILLA FIORITA,Brooklyn,11214,Italian,2/27/2019,02B,Y,1,2/27/2019,40.61204673,-73.99734556,311,43,27600,3161451,3062480050,BK28
299,MOMS LUNCHEONETTE,Queens,11417,American,3/13/2019,04L,Y,1,3/13/2019,40.68353886,-73.8404897,410,32,11200,4201304,4095050001,QN54
300,FONTANA FAMOUS PIZZA & GYRO,Queens,11361,Greek,11/12/2019,06D,Y,1,11/12/2019,40.75771554,-73.78310999,411,19,146300,4124610,4055220001,QN46
301,LUSARDI'S RESTAURANT,Manhattan,10075,Italian,9/19/2019,06C,Y,1,9/19/2019,40.7725058,-73.95564623,108,5,13400,1045226,1014520050,MN31
302,PORTOVINO,Queens,11375,Italian,11/7/2019,04A,Y,1,11/7/2019,40.71874857,-73.84029328,406,29,76901,4078798,4032920015,QN17
303,KING'S ARMS RESTAURANT,Staten Island,10310,American,4/3/2019,08A,N,1,4/3/2019,40.63043625,-74.10698897,501,49,12100,5007359,5002750045,SI35
304,BLUE NOTE JAZZ,Manhattan,10012,American,11/13/2018,10B,N,1,11/13/2018,40.73076382,-74.00079379,102,1,6500,1008768,1005430066,MN23
305,THE WATER CLUB,Manhattan,10016,Seafood,5/1/2019,08A,N,1,5/1/2019,40.74089419,-73.97248741,106,4,6200,1088948,1009620098,MN20
306,MARCO POLO RISTORANTE,Brooklyn,11231,Italian,3/5/2019,09C,N,1,3/5/2019,40.68228287,-73.99592218,306,39,7500,3007223,3004350009,BK33
307,MANHATTAN MONSTER,Manhattan,10014,American,12/17/2019,04N,Y,1,12/17/2019,40.733407,-74.00242837,102,3,7100,1010232,1005920040,MN23
308,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,Manhattan,10024,American,10/1/2019,10F,N,1,10/1/2019,,,,,,,,
309,WAR MEMORIAL ICE SKATING RINK,Staten Island,,American,3/24/2018,10I,N,1,3/24/2018,0,0,,,,,5,
310,TRIPOLI RESTAURANT/SWALLOW CAFE,Brooklyn,11201,Mediterranean,8/28/2019,10F,N,1,8/28/2019,40.69030305,-73.99464519,306,39,4500,3002955,3002850027,BK33
311,PJ BERNSTEIN DELI & RESTAURANT,Manhattan,10021,Delicatessen,12/24/2019,02G,Y,1,12/24/2019,40.76861307,-73.96140347,108,4,12600,1043920,1014250001,MN31
312,PJ CARNEY'S,Manhattan,10019,Irish,1/16/2020,06D,Y,1,1/16/2020,40.76573855,-73.9798849,105,4,13700,1024903,1010290027,MN17
313,TOMOE SUSHI,Manhattan,10012,Japanese,9/3/2019,02G,Y,0,9/3/2019,40.72771164,-74.00025617,102,1,6500,1084919,1005250035,MN23
314,JP'S WATERSIDE RESTAURANT,Bronx,10464,Seafood,1/9/2019,06D,Y,1,1/9/2019,40.85725113,-73.79041547,210,13,51600,2000000,2056360177,BX10
315,JOHN & JOE PIZZERIA & RESTAURANT,Bronx,10462,Pizza/Italian,4/11/2019,10B,N,1,4/11/2019,40.85446555,-73.865892,211,13,22403,2049410,2043190050,BX49
316,SUNSET PIZZERIA,Staten Island,10309,Pizza/Italian,11/14/2019,10F,N,1,11/14/2019,40.54235092,-74.20823691,503,51,20801,5079745,5061450040,SI32
317,MCDONALD'S,Queens,11385,Hamburgers,4/3/2019,08A,N,1,4/3/2019,40.7017391,-73.88083222,405,30,62900,4090455,4037080033,QN19
318,JACKSON HOLE,Manhattan,10016,American,11/13/2019,10F,N,1,11/13/2019,40.74622292,-73.97773987,106,2,7800,1020174,1009150062,MN20
319,NAPOLI PIZZA,Queens,11365,Pizza,10/10/2019,06D,Y,1,10/10/2019,40.73307344,-73.8047535,408,24,122701,4149770,4069310001,QN38
320,VESUVIO RESTAURANT & PIZZA,Brooklyn,11209,Pizza/Italian,2/13/2019,04L,Y,1,2/13/2019,40.63271448,-74.02726606,310,43,6600,3147848,3059180009,BK31
321,WESTERN BAKERY,Queens,11413,Caribbean,1/15/2020,05D,Y,0,,40.67662651,-73.74199059,413,31,63200,4445249,4129670019,QN66
322,JOHNS CAFE & RESTAURANT,Manhattan,10017,American,3/14/2019,06C,Y,1,3/14/2019,40.75102757,-73.97133909,106,4,8800,1037564,1013170028,MN19
323,CAFE LUXEMBOURG,Manhattan,10023,French,8/12/2019,06D,Y,1,8/12/2019,40.77746465,-73.98301541,107,6,15500,1030348,1011580033,MN14
324,"DUNKIN', BASKIN ROBBINS",Queens,11367,Donuts,1/6/2020,10F,N,1,1/6/2020,40.73939635,-73.81574116,407,20,83700,4141524,4064410030,QN62
325,BROADWAY RESTAURANT,Manhattan,10025,American,10/1/2019,09C,N,1,10/1/2019,40.79803372,-73.96929978,107,7,18700,1056505,1018730020,MN12
326,NARITA JAPANESE RESTAURANT,Queens,11375,Japanese,12/9/2019,06D,Y,0,12/9/2019,40.72098186,-73.84561273,406,29,71100,4077496,4032390032,QN17
327,CUCHIFRITO,Manhattan,10029,Mexican,1/25/2019,10F,N,1,1/25/2019,40.79828609,-73.94086392,111,8,18200,1052256,1016430044,MN34
328,IL CANTINORI RESTAURAUNT,Manhattan,10003,Italian,11/26/2019,10F,N,1,11/26/2019,40.73240224,-73.99307222,102,2,5900,1009097,1005610011,MN23
329,ANDREWS COFFEE SHOP,Manhattan,10018,American,2/25/2019,10F,N,1,2/25/2019,40.75174161,-73.99005646,105,3,10900,1015222,1008110001,MN17
330,THE CLUBHOUSE,Queens,11379,American,7/22/2019,06D,Y,1,7/22/2019,40.71438705,-73.90108223,405,30,60300,4061825,4027630055,QN21
