DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
CAOBA BROOKLYN BISTRO,less wealthy,11207,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/3/19,10F,N,1,4/3/19,40.67863498,-73.89640531,305,37,114600,3083112,3036610015,BK83
MAISON KAYSER,wealthier,10028,Bakery,5/9/19,10F,N,1,5/9/19,40.77910071,-73.95376422,108,5,14602,1077854,1015320004,MN32
UNION BANK OF SWITZERLAND,wealthier,10019,American,6/5/19,06D,Y,1,6/5/19,40.76074583,-73.97981783,105,4,13100,1023158,1010040029,MN17
MAISON KAYSER,wealthier,10024,Bakery,8/28/19,10F,N,1,8/28/19,40.7818532,-73.9810355,107,6,16300,1030859,1011680010,MN12
LA ESTRELLA DEL CASTILLO RESTAURANT,less wealthy,11225,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/24/19,10F,N,1,9/24/19,40.66569123,-73.95090178,309,35,32100,3034166,3012960047,BK63
THE KUNJIP,wealthier,10001,Korean,12/12/19,10J,N,1,12/12/19,40.74778611,-73.98702905,105,4,7600,1015831,1008330062,MN17
LITTLE CUPCAKE BAKESHOP,less wealthy,11238,Café/Coffee/Tea,4/10/19,02G,Y,1,4/10/19,40.67840851,-73.96860156,308,35,16300,3028426,3011510044,BK64
NICKOLAS' DELI RESTAURANT,less wealthy,11377,Spanish,11/12/19,10F,N,0,11/12/19,40.73544482,-73.89480473,402,30,48900,4056395,4024390055,QN50
TSION CAFE & BAKERY,wealthier,10031,Ethiopian,9/27/18,08C,N,1,9/27/18,40.82618489,-73.94326719,109,9,23100,1061512,1020630031,MN04
CLARENDON CUISINE,less wealthy,11203,Caribbean,2/27/19,10B,N,1,2/27/19,40.65207781,-73.92652452,317,41,86200,3102259,3046790028,BK96
FISHERMAN'S COVE,less wealthy,11210,Caribbean,6/27/19,02B,Y,1,6/27/19,40.63332886,-73.94771555,314,45,78600,3205910,3075580043,BK42
GOOD JOY,less wealthy,11205,Chinese,10/9/19,06C,Y,1,10/9/19,40.68951168,-73.97070575,302,35,18100,3059079,3021040026,BK68
HOME CHEF INTERNATIONAL FLAVORS,less wealthy,11413,Caribbean,11/21/19,08C,N,1,11/21/19,40.67562346,-73.73903826,413,31,63200,4282638,4131580035,QN66
KINGS KITCHEN,wealthier,10002,Chinese,11/22/19,10F,N,1,11/22/19,40.71376531,-73.99371625,103,1,800,1003545,1002820053,MN27
SUBWAY,wealthier,10001,Sandwiches,2/26/19,10F,N,1,2/26/19,40.74865414,-74.00345391,104,3,9300,1012825,1007220078,MN13
